address;source_location;insn;indent
0x71c70;:0;MOV	%RSI,%RAX;
0x7213d;:0;ADD	%R12,%RBP;
0x72140;:0;AND	$0x3,%R15D;
0x72144;:0;JE	71f06 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x296>;
0x7214a;:0;VMOVSD	(%RBP),%XMM0;
0x7214f;:0;MOV	0x8(%RBP),%ECX;
0x72152;:0;MOV	%R14,%RSI;
0x72155;:0;MOV	%RAX,%RDX;
0x72158;:0;MOV	%R12,%RDI;
0x7215b;:0;SUB	$0x10,%RBP;
0x7215f;:0;DEC	%R14;
0x72162;:0;CALL	71440 <_ZSt13__adjust_heapIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElS3_NS0_5__ops15_Iter_less_iterEEvT_T0_SC_T1_T2_.isra.0>;
0x72167;:0;CMP	$0x1,%R15;
0x7216b;:0;JE	71f06 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x296>;
0x72171;:0;CMP	$0x2,%R15;
0x72175;:0;JE	72191 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x521>;
0x72177;:0;VMOVSD	(%RBP),%XMM0;
0x7217c;:0;MOV	0x8(%RBP),%ECX;
0x7217f;:0;MOV	%R14,%RSI;
0x72182;:0;MOV	%RBX,%RDX;
0x72185;:0;SUB	$0x10,%RBP;
0x72189;:0;DEC	%R14;
0x7218c;:0;CALL	71440 <_ZSt13__adjust_heapIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElS3_NS0_5__ops15_Iter_less_iterEEvT_T0_SC_T1_T2_.isra.0>;
0x72191;:0;VMOVSD	(%RBP),%XMM0;
0x72196;:0;MOV	0x8(%RBP),%ECX;
0x72199;:0;MOV	%R14,%RSI;
0x7219c;:0;MOV	%RBX,%RDX;
0x7219f;:0;MOV	%R12,%RDI;
0x721a2;:0;SUB	$0x10,%RBP;
0x721a6;:0;DEC	%R14;
0x721a9;:0;CALL	71440 <_ZSt13__adjust_heapIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElS3_NS0_5__ops15_Iter_less_iterEEvT_T0_SC_T1_T2_.isra.0>;
0x721ae;:0;JMP	71f06 <_ZSt16__introsort_loopIN9__gnu_cxx17__normal_iteratorIPSt4pairIdiESt6vectorIS3_SaIS3_EEEElNS0_5__ops15_Iter_less_iterEEvT_SB_T0_T1_.isra.0+0x296>;
0x721b3;:0;NOPW	%CS:(%RAX,%RAX,1);
0x721be;:0;XCHG	%AX,%AX;
